Index,B1,B2,B3,B4,B5,B6,B7,Chl-a
0,561,621,725,634,93,429,278,9.73
1,550,625,742,649,91,443,296,9.46
2,561,639,763,658,94,461,321,11.02
3,557,650,766,676,98,474,325,10.73
4,748,752,815,674,89,95,121,13.38
5,729,753,815,660,88,94,138,13.46
6,726,767,1083,718,70,26,33,4.74
7,663,775,860,755,115,564,452,9.52
8,749,780,827,678,95,93,148,11.51
9,744,790,1122,729,75,33,42,3.95
10,711,806,858,737,113,480,314,8.57
11,745,811,1177,751,62,20,25,4.75
12,752,813,1187,755,62,21,21,4.75
13,749,814,1161,751,60,20,21,4.86
14,745,816,1173,748,64,30,44,3.48
15,750,820,1166,752,61,20,21,4.87
16,758,823,1157,774,60,18,18,4.4
17,751,832,1189,779,60,19,18,4.22
18,760,832,1163,758,58,20,20,4.87
19,751,832,1184,766,64,24,30,4.45
20,762,835,1157,754,62,27,38,5.14
21,789,840,896,745,105,100,141,15.21
22,757,841,1190,774,62,24,28,5.26
23,786,842,903,762,108,112,167,12.38
24,747,844,921,792,116,468,300,9.15
25,776,845,1174,763,64,24,32,4.57
26,785,846,1176,771,68,31,45,3.57
27,772,849,1171,777,62,24,29,5.05
28,778,850,1219,792,66,26,35,4.84
29,770,853,1205,785,65,27,34,5.13
30,781,853,1160,773,62,25,33,4.43
31,775,855,1193,787,64,26,34,3.51
32,793,866,987,771,65,115,179,15.46
33,767,881,997,863,127,526,378,5.06
34,815,898,1004,847,127,138,226,14.07
35,860,906,1021,823,218,115,352,4.43
36,752,911,1128,858,158,349,278,8.76
37,756,916,1146,869,185,358,290,8.84
38,834,917,1027,860,124,129,191,15.42
39,771,919,1110,880,129,348,279,8.99
40,755,926,1150,854,146,377,300,7.44
41,760,928,1181,845,166,416,337,7.07
42,759,930,1127,872,162,364,292,8.47
43,769,932,1161,882,203,377,300,8.52
44,769,935,1159,893,184,367,298,8.47
45,778,940,1153,896,182,375,304,8.48
46,819,944,1398,893,62,28,44,7.12
47,764,945,1196,858,173,410,332,7.28
48,781,946,1126,920,110,334,268,8.78
49,862,947,1030,887,132,128,208,12.05
50,855,947,1070,857,76,129,194,15.2
51,794,949,1187,886,148,382,310,7.44
52,785,956,1176,879,170,389,312,7.47
53,792,956,1139,914,142,367,294,8.39
54,799,962,1197,921,192,389,315,7.81
55,788,965,1213,871,216,459,380,8.47
56,805,965,1178,926,235,413,336,8.13
57,794,966,1224,894,209,430,349,7.18
58,797,971,1231,889,206,436,360,6.97
59,811,975,1251,856,336,526,427,8.36
60,763,975,1242,1116,259,907,777,6.74
61,809,977,1169,960,110,331,261,8.78
62,800,980,1178,944,102,327,260,8.49
63,822,983,1221,900,224,433,363,8.89
64,809,985,1241,903,232,467,385,7.24
65,799,986,1179,949,104,330,260,8.75
66,812,990,1242,903,230,466,388,7.7
67,827,990,1220,923,207,426,347,7.48
68,815,994,1199,958,97,324,257,8.6
69,814,996,1240,913,216,449,371,7.12
70,822,996,1222,918,220,440,362,7.38
71,822,996,1224,928,209,431,353,7.45
72,864,1000,1076,930,85,128,201,15.71
73,827,1001,1260,907,318,530,432,8.93
74,820,1001,1249,916,244,480,395,7.84
75,869,1002,1210,1002,79,95,143,18.2
76,821,1005,1268,932,258,490,408,7.65
77,840,1009,1268,940,253,480,394,7.28
78,823,1009,1244,966,222,434,355,7.68
79,830,1009,1216,965,249,438,357,7.66
80,828,1011,1261,922,235,478,395,7.79
81,827,1012,1261,935,254,483,400,7.45
82,825,1013,1241,941,223,437,358,7.48
83,825,1015,1297,924,330,524,438,8.75
84,817,1015,1254,916,263,471,387,8.64
85,887,1015,1241,1020,83,104,162,18.59
86,880,1015,1227,1003,80,98,149,18.88
87,825,1016,1228,952,173,429,345,8.48
88,833,1017,1251,941,257,471,391,7.12
89,848,1019,1250,943,251,479,394,8.07
90,846,1020,1261,954,193,431,347,7.6
91,831,1020,1248,965,188,425,352,7.82
92,858,1022,1251,966,198,425,347,7.66
93,826,1023,1251,938,253,470,386,7.17
94,881,1023,1236,1030,87,102,159,18.75
95,825,1024,1259,941,248,481,399,8.19
96,830,1025,1229,977,95,327,259,5.52
97,845,1026,1273,941,264,491,402,7.09
98,843,1026,1262,976,220,443,360,7.89
99,980,1027,1127,913,292,123,371,3.37
100,846,1032,1271,938,255,495,408,7.66
101,845,1032,1280,953,266,482,393,7.18
102,842,1035,1293,957,289,502,416,9
103,846,1035,1287,950,268,481,399,7.51
104,849,1037,1263,960,254,481,401,8.42
105,845,1038,1243,985,100,330,262,5.83
106,844,1038,1268,988,216,440,363,7.87
107,854,1039,1234,967,101,329,261,5.5
108,849,1039,1242,971,100,326,261,7.16
109,856,1039,1274,957,272,499,411,7.95
110,892,1040,1257,1028,79,101,156,16.52
111,852,1041,1241,984,100,333,266,7.51
112,844,1041,1231,968,103,331,260,6.29
113,859,1041,1239,975,101,328,260,5.63
114,854,1042,1244,983,101,329,259,6.36
115,855,1042,1261,957,265,500,414,8.09
116,860,1042,1251,955,265,485,405,8.36
117,843,1043,1211,950,97,326,262,7.12
118,918,1043,1276,1088,216,209,290,14.06
119,855,1044,1239,972,105,329,264,8.68
120,858,1044,1252,982,98,328,262,6.75
121,860,1044,1278,965,267,489,405,8.27
122,861,1044,1285,962,274,503,415,7.71
123,906,1044,1460,961,78,66,139,4.68
124,860,1048,1250,984,100,328,259,6.32
125,861,1049,1282,1003,230,454,377,8.03
126,856,1050,1281,1000,237,458,378,7.68
127,868,1051,1263,976,270,496,407,8.54
128,861,1051,1263,972,263,488,402,8.02
129,912,1051,1269,1034,82,108,177,16
130,859,1052,1252,988,100,326,257,5.55
131,915,1052,1267,1056,89,109,162,18.94
132,911,1052,1265,1059,89,118,194,18.01
133,922,1052,1273,1042,84,112,176,16.11
134,864,1054,1266,984,100,325,260,7.52
135,873,1054,1307,970,318,510,423,9
